sentiment,text
0,"Awalnya saya memberikan rating bagus karena pada pertama kali diffuser menyala dengan baik. Saya menerima produk tanggal 15 Februari 2022, dan langsung saya coba, hasilnya bagus. Lalu saya ikuti petunjuk mematikan dan pembersihannya. Produk ini saya nyalakan kembali hari ini tanggal 21 Februari 2022 (kedua kali) mist sudah tidak keluar dan tombol on tidak menyala. Saya mengajukan komplain di chat dan balasan dari pihak uchii mengatakan produk yang sudah lebih dari 3 hari tidak dapat dikomplain. Sangat disayangkan karena ini produk elektronik. Jawaban lainnya dari pihak uchii juga sangat tidak proffesional. Apakah karena saya membeli pada saat diskon, lalu dikirimkan produk yang sudah rusak. Harusnya lebih bertanggung jawab. Kalau tidak ada penggantian, minimal perbaikan."
1,Rapi dan pas banget
0,"Salah kirim barang, yang dikirim item harga jauh lebih murah (Smart Breaker).Transaksi sudah terlanjur diselesaikan, karena sudah beli beberapa kali dan biasa tidak ada masalah."
0,"mungkin karena filternya terlalu canggih, jadi air yang keluar jadi kecil banget."
0,agak kecewa beli 13 pcs di ksh yg exp bln 4 2022 semua...
1,bagus dan cepat
1,Rqpihhhhhhhhhhhhhhhh
0,"produk tidak layak dimakan, sudah jamuran beberapa pcs, padahal tulisan expired date masih 1 bulan lagi. harap di qc ulang semua produk makanannya agar layak dimakan konsumen."
1,Positive quality. & ada bonus pelindung kabel ????????
1,mantappppp
1,Tq paket na sudah sampe smoga soho sering2 promo ya ??
0,baru dipake eh lampunya sudah mati. sedih dah
1,"tripodnya, terasa sturdy cukup ringan, tapi tanpa manual. seller fast response,"
0,"LAMAAAA BGT hampir 7 hr.. Kaya preorder... Barang d proses stlh 3 hari itu pun blm d kirim.. Barang sampe, kurang.. Di komplain, awal nya d terima. Ga lama d cancel komplain nya.. Ga ada penjelasan..."
1,Bagusssssssssssssssssss
1,barang sudah sampai dg selamat..packaging rapi..3-4 hari dari proses pemesanan sampai tiba di Malang..terima kasih ??
1,bagus dan cepat
1,"AMAZING!! Respon seller cepat. Barang ori seperti di foto dan sesuai deskripsi. Proses pengiriman kilat banget.. Thank you yaa kak, sukses selalu :)"
1,"Beli ini krn Anak & Istri mau liburan di Jakarta, cari2 ketemu toko ini dengan harga yg masih ramah kantong, untuk pelayanan toko bagus & cepet, packaging nya juga rapih & aman banget, recomended seller. Untuk Difusser nya berfungsi dengan baik, untuk kualitas diffuser nya sendiri termasuk kokoh ya dengan harga segini, puas benget sih pas udah nyobain. Semoga bisa tahan lama difusser nya"
1,Bahannya adem. Jahitan rapi.
0,"beli 2 jerigen kemasan 5 liter, 1 jerigen ada yg kurang isinya"
1,"pengiriman lumayan cepetttt. proses agak lama, paking bagusss pake dus. harga pas lg promooo, respon cepettt.Aplikator mudah dipakai. Desainnya mewah."
0,"barang tidak sesuai yang dipesan. Pesan yang aneka warna,ternyata yang datang hitam smua"
0,"Mohon maaf, produknya tidak bisa dipakai. Sudah install sesuai dengan petunjuk, tp ga bisa juga. Insya Allah Ikhlas"
1,Barang udah sampai dan diterima sesuai pesanan.. top markotop gan.. mantap lah pkk nya gan.. thx u gan.. ????
0,box nya gak di rakit
1,baik
0,BARANG RUSAK DIKIRIM!!!!!!
1,"mantap proses pengemasan dan pengirimannya cepat, produknya juga nyaman bahannya..."
0,"barang rusak. pisau ada yg patah, ada bekas goresan pisau, sayang banget quality kontrolnya buruk."
0,"seller responsif, packing aman & pengiriman cepat. sayangnya barang tidak dicek dgn teliti sebelum di kirim ke pembeli sehingga tidak sadar akan ada cacat produk. keinginan saya utk retur barang akan tetapi dikarenakan hari jumat saya harus pakai barangnya maka tidak saya retur"
1,Harga termurah kualitas dan layanan teratas!! Recommended product from recommended seller!!
1,"Trm ksh brgnya sdh smp, pengiriman cepat kmrn pesan hari ini sampai, double bubblewrap, penjual responsif dlm QA, kurir oke lah via COD."
1,"respon cepat, gosend ke Pamulang cepat, dapat diandalkan tepat saat dibutuhkan, kualitas okeee bgt untuk harga segitu, hasil juga cukup memuaskan, thank youuu"
0,"Promo yang ditawarkan Marketing S3 payah, Alibinya Free Gimmick Hanya Berlaku pada toko di wilayah Tangerang, Sedangkan barang yang di tawarkan di Toko Tangerang tidak ada Free Gimmick tersebut tapi kenapa dicantumkan di toko Cabang Aneh Sekali"
1,"Barang sesuai deskripsi, cepat sampai"
1,"Mantaaap. Tanggap banget, fast respon. Juossssssss"
0,jilbabya lecek dan banyak benang jahitan
0,penjual gk respon bgt parah
1,"barang sesuai gambar dan original,penjual responsif,barang cepat sampai."
1,"-1 bintang karena packing ga pake bubble wrap, walaupun sampai dengan selamat & tanpa ccd. Penjual fast respon & proses, barang sesuai dan terdeteksi sebagai xbox controller, colok langsung pakai tanpa perlu config"
0,gk ada kotak sepatunya. Beli Sepatu harus nya ada kotak. Ini malah plastik kresek doang
0,"Yg bikin kecewa pesen 6 items yg nyampe cuma satu. Masih saya tunggu kekurangan barangnya UNO STACKO KAYU, uno card 2pcs dan werewolf 2pcs. Kalau tidak tolong refund aja uangnya."
0,pesan 2 yang satu setengahnya mati.
1,"barang bagus sesuai dekripsi.,tapi sayang packingnya kurang rapi dan ada beberapa yang rusak yasinnya."
1,Barang sudah diterima..bagus...dlm keadaan baik...warna jg sesuai dg yg diinginkan..bungkusnya juga bagus...mantap..suka deh...makasih penjual..makasih tokopedia...
1,mantap barangnya ??????
0,ANCUR DAH PELAYANANNYA. GAUSAH KESINI DAH KALO GAK MAU KAPOK
0,"barang kw.. kalau original, bagian ujung colokan lightning nya berwarna abu, kalau ini wrna putih.. di plat usb jg seperti gbr produk yg palsu.. bagian kiri adalah produk yg dibeli di toko ini, yg kanan adalah kabel original saat beli HP."
1,"mantab. berfungsi dengan mantab, proses pengiriman cepat. TOP"
1,Jamnya berfungsi normal. Ukuran sesuai. Keren banget modelnya.
0,beli tgl 5 dikirim tgl 7 lelet mana free buku gambar ga dikasih klo ga ada bilang bro jgn diem aja udah beli 2 no free sama sekali jgn beli disini lg
0,"susah payah narik balonnya biar mekar, eh bolong..."
0,"Pelayanan toko sangat buruk, saya order laptop disini, dan setelah barangnya sampai, laptop nya ga mau nyala.. habis itu saya berusaha minta solusi dari seller, awalnya seller masih mau respon seadanya ( tidak menawarkan solusi dan sangat lamban.) lalu karena mikir respondnya lama banget, terpaksa saya ajukan komplain . tapi setelah di komplain, seller ga pernah jawab diskusi ataupun respon kendalanya.. saya dicuekin selama 8 hari, sampai jangka waktu habis dan dana di refund. kalau ada yg baca ulasan saya. saya anjurkan utk order di toko lain. jangan tergoda sama tittle official store, nyata nya pelayanan toko ga lebih baik dari merchant biasa. harga juga ga lebih murah."
0,"Barang sampai dengan selamat, mic berfungsi tapi emang kualitasnya tidak sampai bisa meredam suara di sekitar"
1,mantaapp!????????
1,Mantap jiwa bang
0,barangnya jelek cepet rusak baru pake sehari talinya sudah mau lepas
0,tidak ada talinya??
1,"mantap, selalu ok sesuai produk deskripsi"
0,Produk yg dikirim berbeda dgn foto yg tertera..
0,"maaf nih, wanginya kaya body lotion citra, malahan masih lebih wangi body lotion ?? emang sih harga murah, tapi menurut saya tetep ga worthed"
0,Harga & kualitas terlalu jauh.. Harga tinggi vs kualitas rendah.
1,Bahannya adem Warnanya cantik ?? Tebalnya pas! Jahitan rapi
1,Mantap respon cepat bgt... lebih cepat dari estimasinya
0,"kemasannya memakai plastik, mudah mangap, rawan bocor, tidak sebanding dengan harganya"
0,saya beli item ini tetapi pompa elektrik ini tidak bisa di charge. sehingga tidak bisa di pakai. pihak penjual tidak ada respon ! tidak bisa membantu ! saya sangat kecewa. NOT RECOMENDDED !!
1,"Bisa dipakai, trusted seller, recommended!"
1,barang aman dan sesuai pesanan
1,"Barang sesuai deskripsi. Pegangan kokoh dan stabil. Packaging aman dan bagus. orderan ke 4 selalu puas, seller gercep, hari minggu dikirim, kurir cepat, next order lagi.."
1,Barang sesuai deskripsi
1,barang sesuai pesanan paking standar bagus pengiriman cepat sampai TKS gan
0,"Chatt, hampir Ga ada respond"
0,barang rusak
0,"Masak barangnya yang di kirim rusak. Gak bisa di gunakan. Dan orangnya gak ngerespon chat saya,dan saya minta ganti gak mau yaudah deh biar Tuhan yang iklaskan"
1,pengiriman lama. cuma penjualnya responsif. blm bisa kasih bintang 5
1,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb
0,Minta warna putih dikasih hijau.. Seller banyak alasan babibu..
1,piyamanya bagus sudah beli ke 2 X harga murah pengiriman cepat seller rekomendasi
1,"menyerap air dgn baik, cuman ukurannya kecil banget. jd kalau untuk mengeringkan banyak piring butuh lebih dr satu."
0,"sampul gompal-gompal, kayak barang reject"
1,"barangnya sudah sampai, tidak ada yang rusak atau robek, barangnya original, real pick, packingnya bagus, pengiriman sangat cepat kurir ramah, pokoknya amanah deh kalo mau belanja di toko joyko official store... ????"
0,"saya udah pesen, tp gak ada :( ini emg kesalahan saya pas mesen atau gimana?? udah bayar box tp gak ada box kan sedih...boleh diulas bosku"
0,"pengalaman buruk belanja di toko official, barang di terima dalam keadaan tidak menyala dan tidak mau bertanggung jawab, replacement saya ajukan sendiri ke servis center, setelah barang pengganti datang, plastik wrap dan segel berbeda dengan yg dikirim seller, ntah repack barang yg bermasalah atau memang beda batch, tapi respon seller ini menurut saya sangat tidak profesional apalagi sekelas official store"
0,tidak berfugsi
0,"dasternya adem ya iyalah pada bolong/sobek gitu ya jelas ademnya,,mentang2 gretongan,,,haahaaa parah asli"
1,Bagus dan ini order saya yang kedua.
0,katanya disuruh pakai bubblewrap utk keamanan barang... tapi tetep aja barangnya ga dikasih bubblewrap. padahal berbayar
1,"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller"
0,sangat kecewa sekali
0,kualitas aroma tidak sesuai ekspektasi
1,"Packing sangat baik. Buble warp sangat tebal. Pengemasan cepat, pengiriman kurir standar. Produk masih segel. Exp msh lama. Terima kasih."
0,"Kualitas karung kurang bagus, pengiriman lama."
0,Proses packing sangat lambat.
0,"Bahan dan konstruksinya tidak kuat, mudah patah."
0,"Barang pesanan sampai, cuma tidak sesuai dengan yg saya pesan, komplain tidak ditanggapi dibales cuma sekedarnya, di telp tidak diangkat, di wa gak di bales, dr pada lama nunggu balasan dr agan ini mending saya jual aja tu liquid.. br kali ini belanja di tokopedia nemu seller yg kyak begini..gak2 lagi2 deh belanja disini percuma Di deskripsi gede2 ditulis jgn sampai kurang isi keterangan soalnya bkl_an di kasih random ehhh ini malah seller nya sendiri yg salah begitu, minta maaf pun gak..mending dikasih Nic 6 pesannya Nic. 3 tp produk sama, lah ini seller salah ngirim produk yg dipesan.. Kalo saya siy kecewa berat belanja disini krn barang salah kirim taunya bakalan susah di retur...saya juga lg liburan gara2 begini saya sibuk ngurusin beginian nunggu2 masalah ini cepat kelar.. SORRY TO SAY NOT RECOMMENDED SELLER"
1,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat"
0,"tipis, bagian dalam kurang rapi, untuk harga segitu jadi mahal krn ga awet"
1,"mantep bangettt coklatnya. beli lagi promo terus masih ditambahin voucher juga, jadi mumer pokok deh"
0,"slow respon, kecewa berat, sampe 1jam batal otomatis karna ga diproses"
0,"Pesen warna merah, yg dateng warna hitam. Padahal udaj konfirmasi di chat."
0,ANCUR DAH PELAYANANNYA. GAUSAH KESINI DAH KALO GAK MAU KAPOK
0,Belinya transpulmin baby yg sampe transpulmin kids.. sorry dksih bintang 2 biar ada perbaikan kedepannya.. thx
0,barangnya gajelas masa beli 6 dikirim dua
1,pesanan sdh diterima dengan baik
0,"tidak sesuai yang diharapkan, volume tidak besar kencang"
1,garansi resmi. kelengkapan sesuai. garansi internasional. Harganya bersaing.
1,"bahan bagus , hanya di bagian jahitan mudah lepas"
1,"ini enak bangett, packingnya juga bagus bangett.. terima kasihh.. recommended bangett dehh ????"
1,"thx Gan,barang sampai dengan selamat"
1,sesuai yang dipesan. Terima kasih
1,pengiriman cepat dan aman... ini sudah mulai repeat order buat nabung.
1,"produk nya bagus, sesuai deskripsi ????"
0,"pengiriman lamaaaaaa banget, sampai sudah beli ditempat lain baru datang, pengiriman lebih 1 bulan...kacau ??"
0,barang nya salah krim minta kampas rem di kasih oli gear hadeh ..kecewa lah
0,"parahhhhh kecewa bgt bilang bahan yg tebel tpi datang tipis murahan, mana pesanan di kali 4 nilainya hasilnya jelek bgtttt, jgn mau pesen di toko ini parah bgtttttttttttttttttttttttttttttttttt"
1,Mudah Dibersihkan. Sedotannya Kuat. Kabel Listrik Panjang. Harganya Murah. produk berkualitas....??????.......tks baseus
0,"pelayanan penjual nya jelek, slow respon banget"
0,"toko benalu, gk jelas barangnya.. sampah"
0,"Berat, ngga tajam, buat potong daun aja ngga bisa,"
0,gajelas
1,"Barang Mendarat,,produk original sesuai dengan deskripsi,kemasan rapi ,seller Ramah,fast respon pengiriman pun cepat pokok nya recomended dah,makasih tokopedia makasih admin??"
1,barangnya buwaguusss.... sesuai pesanan.... angin nya kencang... seperti angin puting beliung.... laptop ademmmm benerrr
1,"lumayan lah, buat pemanasan"
1,"mantap barang ori, packing oke, harga promo muraj, sering sering aja promo ya"
1,proses cepat.. celana lumayan bagus... makasih selleer
0,Ada 2 aksesoris yang ga ada...sama 1 yang rusak...kan harus nya ada 18 pcs...in cuma 16 pcs...lain kali tolong d check dlu ya...
0,ini bukan kertas origami tapi post it
0,Tidak sesuai dengan foto
1,cepat........harga oke...sesuai pesanan.
0,"Seller Tidak jujur. saya beli 2 macam barang, salah satu stok kosong tp tidak diinfokan. Tapi lgsg kirim yg satunya. pdhl sudah nunggu2. pikir penyelesaian gampang ya, buyer bisa tinggal minta refund. tapi saya rugi waktu dan ongkir."
0,"tipis, agak kaku, jadi dipakai kurang nyaman"
0,bukan orlee yang dikirim. payah
0,Bocor rembes bagian atas . kalo dimiringin bisa abis
0,"Ga sesuai produknya sma di photo, bahannya kasar dan sama sekali tidak menyerap keringat, jadi tidak nyaman dipakainya, sejak beli lalu dicuci baru dipakai barusan banget, dan terpaksa harus dibuka lg krna gerah, ga kepake deh jadinya ??"
0,baru d pake seminggu rusak
0,"sangat kecewa, tidak seperti dulu. Pakcing sangat buruk. box kayu hancur. beli 20 bh untuk jual lagi. gak ada yang bagus. Retur kena biaya lagi. terpaksa kami jual tanpa box kayu."
1,harga murah kualitas produk sangat baik
0,"Yang penting keluar suara deh. Soal kualitas suara maaf ya, mungkin mirip sama mainan anak-anak berbentuk Handphone."
1,makasiii bgtttt aku sukakkkk
0,sama sekali gk bisa dpake asli nyesel
0,kualitas barang jelek.penguncinya sudah patah saat baru dibuka..
0,Barangnya gk berfungsi semestinya
1,"mantap sekali broooo, penjual ramah, sabar dan jika ada masalah pasti ditangani. ARIGATOOO??"
1,original pengemasan dan pengiriman standar.. siiiipplll
0,gak bisa di pake kecewa jadi barang sampah deh
1,packing rapi. proses pengiriman cepat.
1,slalu OK belanja disini
1,"barang sesuai pesanan, free sticker lucu, packing kurang aman, tp barang mulus no cacat tp bnyk debu ny jd harus di bersihin lg supaya bersih ??????"
0,"ini sih bukan 3m asli mengecewakan ,udah beli 10 tp gini"
1,Lucu tasnya murah sesuai harga sih kualitasnya.. pas juga dianak saya
0,pesan model love yg dtang mickey.anak we jdi ngamuk.di cat ktanya ready yg love.klo ga ada bilang
1,"alhamdulillah memuaskan,walau sempet kehabisan stok tapi gamasalah diganti sama model lain juga bagus,kualitasnya mantap, pelayanan juga ramah,mungkin respon nya aja perlu di tingkatkan lagi"
0,"baru pakai beberapa minggu saja, kabel usb nya udah nga bisa nge charge. dan yg pasti kabel nya harus khusus beli di tempat dia. bagi kalian yg mau beli, mikir2 dulu de..mending beli stick yg lain.. tanya sama admin nya, solusi harus beli dan harganya seratus ribu. quality cemen kek gini di kasih harga segitu.. mikir donk.."
1,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????."
0,Penjual lambat respon penjual. Barang lama dikirim. Keburu basi nih balon.
1,"Alhamdulillah sudah sampai sabuknya, keren cepet nyampenya pada hal baru kemaren sore pesannya ."
1,"istri saya suka sekali, motif hewannya bagus tidak terlihat seperti sablon murahan, katanya pakai singlet aja gausah pake baju juga terlihat bagus. packing rapi, pengiriman cepat"
0,"Tidak diinfo dent dent ny. tidak memberikan kejelasan msalah battery. Cukup kecewa tpi mesin jalan dengan baik. Batt capacity tidak 100% .Beset kanan bawah, pesok bag monitor atas dan bawah."
0,"Bagian dalam berantakan semua benang nya, seandainya bisa lebih bagus, tambah mahal sedikit pasti banyak yg mau ini, bagus luar nya"
1,Produk Sesuai.
1,"Barang original berkualitas, pengiriman cepat."
1,barang sdh di terima dgn selamat dan barang nya muantaaap sekali.maju dan terus berkembang buat toko nya.
1,"bagus, pengiriman cepat"
0,"saya kecewa, bahan nya panas. warna yg di kirim juga kurang menarik"
0,Beli sabtu sampainya kamis ..lama betul ??
0,"barang tdk bisa dipakai, suara tdk keluar ... sangat mengecewakan"
0,"Produk swallow, tp ukuran yg dikirim tdk sesuai deskripsi... Saya tanya, seller ga respon... Payah"
1,barang sesuai dan pengiriman cepat
1,Barangnya original ??. Kemasan disegel. Proses pesanan cepat. Respon penjualnya top.
0,"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata"
1,"arrived safely! yayy puas banget, thank uuu Mizan! cantik banget bukunya????. ga ada defect apapun yuhu, puass! thank youu mizan!!????"
1,baguusss sarungnya
0,"tasnya bagus, ringan dan elegan. tapi sayang, dateng2 pas dibuka jahitan sebelah kanan sudah pada copot jdi lgsg saya bawa ke permak tas??"
1,mantap. pengiriman nya cepat banget. barang oke semua dan berfungsi. kondisi mulus ??% mantap. cahaya nya juga terang banget. top markotop
0,"barang datang dalam keadaan dilipat, padahal ada catatan barang digulung, jangan dilipat"
0,barang tidak sesuai deskripsi bukan fast charger saya sudah coba di hp saya yang mendukung fast charger tapi setelah memakai kabel ini jadi normal charger bkn fast charger
0,"Pengiriman lama, Minta Nota Pembelian tidak di kasi"
1,barang cet sampai thanks seller fast respon nya
1,"Puas banget dengan sofa-nya.. bagus.. dan adminnya sangat membantu, saya minta tolong sebelum tahun baru, dan benar hari ini barang langsung sampai.. terima kasih banyak.."
0,"produk ada goresan, ga rapi dan ada kotoran di pinggirannya. kiriman cepat smpe."
0,free canister ga dikirim.. payah kecewah dah males beli disini
0,"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa."
0,"kualitas ala kadar nya. obeng buat buka mur,ujung matanya kalah. meletot. padahalur nya ngga terlalu kenceng. bahannya kurang bagus"
0,ukurannya terlalu pendek
0,Aroma bikin pusing.
0,"Barang yang diterima cacat pada analog, untuk komplain tetap dilayani tetapi dari saya sendiri tidak kirim kesana karena ribet dalam ongkir dan pengiriman nya. lain kali tdk apa apa di buka segelnya untuk di cek analognya, sehingga tidak perlu masalah complain dan kirim balik sana lagi, Terima kasih"
1,Terima kasih barang mantappp
1,Gampang dipakai. Tekstur empuk.
1,"Maaf baru kasih ulasan.. Buku nya bagus, berwarna, tulisan nya juga jelas, tapi ada di brapa halaman lem nya gx kuat ya, jadi pada copot lembaran nya.. seller, dan kurir oke"
0,ada bekas sobek di bagian belakang meskipun itu sobek kecil tapi tatap saja saya sedikit kurang puas terimakasih
1,penjual ramah n fast respon...
0,ketahanan wangi tidak seperti claim yg di sebutkan 12jam
1,Ukuran sesuai. Bahannya berkualitas. Nyaman dipakai si kecil. Modelnya keren ??.
1,"selalu puas beli disini, cepet sampai packing rapih dpt hadiah pula"
0,"Pesen kopi keluarga 2 botol, yg dikirim cm 1 botol. Penjual dichat tidak ada respon sama sekali. Sangat mengecewakan penjualnya."
1,barang sampai dengan aman
1,Barangnya original ??. Ada garansi resmi. Suaranya jernih. Koneksi bluetooth kuat. Nyaman dipakai lama. Material premium.
1,"trima kasih, respon cepat, barang sampai dgn selamat ??"
1,mantaaappp bagus kereeennn??????????
1,"kain adem, jahitan bagus, ukuran pas, Positive??"
0,"Hmmmm barang kurang kokoh, tidak bisa utk menyimpan barang berat. Doyong. Kemahalan utk tingkat kekokohan seperti ini� sorry �"
0,"kecewa banget baunya ga sama waktu nyoba punya temen, terlalu banyak alkohol nyesel banget beli 2 lagi hadeh, asli nyesel banget buat pelajaran aja"
1,korset paling mantap. gak gatal dan nutup perut sepenuhnya. ga lepas2 juga saat duduk
1,"kualitas sesuai harga, respon seller ok, tks"
1,Barang nya sesuai yang di foto dan ternyata kualitasnya jauh lebih baik di banding yang saya pikirkan
0,"Ga mungkin barang baru. Jijik liatnya ada kaya kotoran cair, dan ini pun baru keluar dari bungkusan. Buang."
1,Teksturnya keras. Hasilnya tebal. Gampang dipakai. Gampang dibawa-bawa. Packaging aman ??. Proses pesanan cepat.
1,mantap
1,sangat berguna. bermanfaat dan lancar digunakan di Swiss
1,"Isi buku bagus, saya beli sekalian minta disampul. Tetapi halaman-halaman banyak yang menyatu, harus kita potong dengan cutter atau pisau secara manual. Sebenarnya saya tidak masalah tetapi saran saya sebaiknya seller memeriksa kembali barang sebelum dikirimkan dan memberitahu apabila ada kecacatan. Kemudian bila ada konsumen yang chat setelah barang sampai jangan cuman diread saja. Semoga bisa jadi bahan intropeksi dan membuat tokonya lebih maju"
1,Respon cepat & barang sesuai! Sipppppppppp!
1,Material Produk Bagus Ukuran Produk Sesuai
1,"Recomended pelayanan memuaskan, respon & pengiriman cepat"
0,"ada kesalahan di MC dan hardisknya. Gak bisa digunain jd nya PSnya.. masa gak ke isi game atau MC nya ngeblank. padahal belinya bkn dgn duit yg sdikit, dan harus beli kabel lagi karna salah kirim udah gt isi game sndri jadinya. Kecewaaaaa sumpah"
1,respon penjual cepat dan ramah
1,anak saya suka ??. Aman untuk si kecil!.
1,pengirimannya cepat. packingannya bgs
1,Hasilnya tahan lama. Desainnya mewah.
1,pengiriman cepat Barang Sesuai Deskripsi. terimakasih.
0,BARANG TIDAK SESUAI PESANAN.. DIMINTA GOLD MALAH D KIRIM WARNA PUTIH DAN MERK LAIN!!
0,"seller sih ok, pengiriman cepat. barang import, mungkin waktu cek produksi kurang teliti. kepala sapu sering lepas karena tidak bisa terkait sempurna. mau saya coba lem nanti.."
1,tengkyu sesuai banget pesanan nya????
1,"Nyaman dipakai ??. enak sih dipakai, kantong belakang ngebantu banget buat nyimpen hape."
0,"Minta Black dikirim Transparent Black kecewa banget gasuka warnanya, lain kali e-commercenya teliti dalam menanggapi costumer"
1,"brg sampai, packing oke, cocok bt kado, ada bonus dompet koin??"
1,Gampang dipakai. Packaging aman ??. Proses pesanan cepat. Gampang dibawa-bawa. tapi syg pas baru nyampe dibuka udh patah
0,"TOKO TIDAK AMANAH. Diminta untuk dikirim kekurangannya yaitu karet, baut dll untuk penahan stick-nya namun kena GHOSTING. Tidak ada kabar dan itikad baik hingga saat ini. Terima kasih"
0,"Cover buku gak bagus, lem nya kualitas buruk sehingga cover dengan bukunya lepas, kualitas tulisan seperti fotokopi. Tidak rekomended untuk beli di sini..."
0,tdk sesuai
0,"pelayanan lambat, beli tgl 3 baru sampai tgl 9, setiap di trace selalu gagal pickup, katanya lg maintenance tp ga bilang ke pelanggannya. sangat mengecewakan."
1,Packaging aman ??. Barang berfungsi dengan baik.
1,bgs bgt. anak2 suka sekali. terimakasih
